Code,Label,unemploy,low_birth_weight,male_exp,fem_exp,obesity,deprivation
E05000026,Abbey,10.3,9.5,79.3,88.2,3,31.3
E05000027,Alibon,8.7,5.3,77,83,2,35.4
E05000028,Becontree,9.2,7.8,75.2,81.4,2,35.3
E05000029,Chadwell Heath,8,6.8,78.3,82.2,2,32.1
E05000030,Eastbrook,8,7.5,76.8,80.8,2,25.3
E05000031,Eastbury,9,8.7,79,83.3,2,33.2
E05000032,Gascoigne,9,9.5,77.5,85.9,2,37.1
E05000033,Goresbrook,8.5,6.5,77.2,82.6,2,33.3
E05000034,Heath,9.3,7.2,77.6,80.2,2,35.9
E05000035,Longbridge,6.8,9.5,80.1,85.3,3,21.2
E05000036,Mayesbrook,8.9,7.4,78,81.7,2,38.2
E05000037,Parsloes,8,6.8,77.2,82.5,2,32.5
E05000038,River,9,6.8,74.7,80,1,32.9
E05000039,Thames,8.6,9.5,77.8,81.5,2,36.4
E05000040,Valence,8.6,7.1,75.5,81.2,2,36.4
E05000041,Village,9.5,7,76.1,80.9,2,36.1
E05000042,Whalebone,7.5,7,79.3,85.3,2,24.5
E05000043,Brunswick Park,4.7,6.7,81.8,85.5,5,13.1
E05000044,Burnt Oak,7.9,7.2,78.6,81.7,5,28
E05000045,Childs Hill,6.6,5.7,82.2,84.8,5,19.7
E05000046,Colindale,6.8,6.8,83.1,85.7,5,25.2
E05000047,Coppetts,5.7,5.6,80.5,83.3,5,16.6
E05000048,East Barnet,5.6,6.4,82.6,85.4,5,15
E05000049,East Finchley,4.9,7.3,83.3,85.6,5,15.1
E05000050,Edgware,6.1,6.9,84.5,87.4,5,14.9
E05000051,Finchley Church End,5.3,4.9,85.7,89.8,5,10.5
E05000052,Garden Suburb,3.6,6.4,86,90.5,5,9.1
E05000053,Golders Green,7,6.8,81.7,84.9,5,19.2
E05000054,Hale,5.6,6.9,82,85.6,5,15.6
E05000055,Hendon,7.2,6.8,81.6,86.3,5,16
E05000056,High Barnet,4.2,6.9,80.7,85.1,5,11.1
E05000057,Mill Hill,5,6.2,84,86.8,5,13.9
E05000058,Oakleigh,5.2,7.6,81.6,86.8,5,11.9
E05000059,Totteridge,3.6,6.6,83.3,86.8,5,9.8
E05000060,Underhill,5.5,6.4,80.6,83.6,5,19.9
E05000061,West Finchley,5.1,5.2,81.5,85.8,5,12.1
E05000062,West Hendon,6.7,6.4,79.8,85,5,19.5
E05000063,Woodhouse,6.1,8.9,81.4,86,5,16.2
E05000085,Alperton,6.4,12.5,81.9,87.9,5,22.5
E05000086,Barnhill,8.6,6.3,78.4,81.1,5,25.2
E05000087,Brondesbury Park,7.2,8.1,81.4,86.4,5,21.5
E05000088,Dollis Hill,11.8,7.7,82.6,87.1,5,29.5
E05000089,Dudden Hill,10.3,7,83,87,5,27.5
E05000090,Fryent,7.8,7.4,79.9,83.8,5,19.9
E05000091,Harlesden,14,8.4,77.6,84.3,4,39.6
E05000092,Kensal Green,11.5,6.9,79.8,86.1,5,28.4
E05000093,Kenton,5.1,9.6,87,91.3,5,13
E05000094,Kilburn,10.6,8.2,80,84.8,5,31.1
E05000095,Mapesbury,8.9,5.7,80.9,87,5,24.2
E05000096,Northwick Park,4.9,8.5,81.2,85,5,14.9
E05000097,Preston,7.1,9,83.1,84.8,5,20.8
E05000098,Queens Park,7.4,6.3,82.9,86.7,5,19
E05000099,Queensbury,7.6,8.6,80.5,85.9,5,19.9
E05000100,Stonebridge,14.2,7.8,76,80.6,4,45.3
E05000101,Sudbury,7,9.5,79.7,84.2,5,22.2
E05000102,Tokyngton,6.1,7.6,79.8,84.6,5,21.9
E05000103,Welsh Harp,9.5,6.7,80.7,86,5,27.6
E05000104,Wembley Central,6.4,10,82,87.4,5,23
E05000105,Willesden Green,9.9,7.9,78.1,86.2,5,29.9
E05000106,Bickley,2.7,4.8,80.5,82.7,4,8.2
E05000107,Biggin Hill,3.5,6.2,82.3,85.1,4,9.3
E05000108,Bromley Common and Keston,4.2,6.3,81.5,84.6,4,15.9
E05000109,Bromley Town,4.2,7.1,80,83.6,4,10.7
E05000110,Chelsfield and Pratts Bottom,2.1,6.1,81.7,85.7,4,6.7
E05000111,Chislehurst,2.6,6.4,81.3,84.7,4,9.8
E05000112,Clock House,4.3,6.1,80.2,85.6,4,12.4
E05000113,Copers Cope,3.6,4.9,81,86.1,4,11.4
E05000114,Cray Valley East,5.6,5.7,79,83.5,4,27.2
E05000115,Cray Valley West,5.9,8,77.9,83.9,5,28.3
E05000116,Crystal Palace,6.5,7.6,78.3,80.9,4,26.3
E05000117,Darwin,3.3,4.2,82.5,84.3,3,15
E05000118,Farnborough and Crofton,2.6,5.2,82.7,87.2,4,8.4
E05000119,Hayes and Coney Hall,2.6,6.6,83.4,87.5,4,7.2
E05000120,Kelsey and Eden Park,3.2,7.3,83.5,87.3,4,10.7
E05000121,Mottingham and Chislehurst North,6.5,5.6,80,83.8,4,28
E05000122,Orpington,4.4,7.2,81.7,86.2,4,16.1
E05000123,Penge and Cator,6.4,6.9,79.3,84.4,4,22.2
E05000124,Petts Wood and Knoll,2.1,4.4,84.2,88,4,5
E05000125,Plaistow and Sundridge,5,7.5,80.2,83.3,4,17.6
E05000126,Shortlands,2.4,6.1,84.1,86,4,6.3
E05000127,West Wickham,2.4,6,84.5,85.9,4,6.2
E05000128,Belsize,3.2,6.6,85.3,89.8,5,11.9
E05000129,Bloomsbury,4.4,8,84.1,87.8,5,17.2
E05000130,Camden Town with Primrose Hill,5.4,7.1,83.4,90.8,5,24.1
E05000131,Cantelowes,5.1,6.6,80.8,86.6,5,23.8
E05000132,Fortune Green,4.9,7.6,82.6,87.8,5,17
E05000133,Frognal and Fitzjohns,2.1,6.7,89.3,90.7,5,7.1
E05000134,Gospel Oak,6.1,8,81.8,83.8,5,23.5
E05000135,Hampstead Town,2.1,6.6,87.4,93,5,7.2
E05000136,Haverstock,5.6,8.1,80.7,85.4,5,27.1
E05000137,Highgate,5,5.3,84.8,86.9,5,18.5
E05000138,Holborn and Covent Garden,5.1,9.2,82.5,91.9,5,21.1
E05000139,Kentish Town,4.7,6.9,79.7,85.6,5,18.8
E05000140,Kilburn,7.1,7.7,76.9,83.9,5,29.3
E05000141,King's Cross,4.5,8.8,84.8,87,5,24.9
E05000142,Regent's Park,5.4,8.7,81.1,84.5,5,26.1
E05000143,St Pancras and Somers Town,5.9,8.8,78.2,83.5,5,32.5
E05000144,Swiss Cottage,3,5.7,83.7,88.8,5,13.3
E05000145,West Hampstead,4.3,7,85.6,89.2,5,16.6
E05000170,Acton Central,8.9,6.3,80.1,85.1,5,24.1
E05000171,Cleveland,7.7,7.3,81.8,86.3,5,21.7
E05000172,Dormers Wells,10,8.1,79.2,85.2,5,29
E05000173,Ealing Broadway,5.9,5.9,81.3,85.4,5,16.4
E05000174,Ealing Common,7.2,6.6,81.2,84.9,5,20.1
E05000175,East Acton,8.4,8.7,81.9,84.8,5,24.7
E05000176,Elthorne,8.9,7.7,78.6,82.2,5,24.2
E05000177,Greenford Broadway,9.5,7.5,77.6,83.2,5,27.1
E05000178,Greenford Green,7.6,6.2,80.5,84.6,5,19.1
E05000179,Hanger Hill,6.3,5.4,82.9,86.2,5,14.6
E05000180,Hobbayne,9,6.2,82.1,85.5,5,23.4
E05000181,Lady Margaret,8.1,11.3,79.2,82.7,5,20.6
E05000182,Northfield,4.7,7.5,82.8,87.9,5,11.1
E05000183,North Greenford,7.1,8.8,82.8,85.6,5,16
E05000184,Northolt Mandeville,8.9,6.3,81.1,84.1,5,27.2
E05000185,Northolt West End,10.3,5.3,80.9,82.9,5,33.3
E05000186,Norwood Green,9.4,8.7,76.7,81,5,32.9
E05000187,Perivale,8.4,6.7,81.1,86.1,5,17.7
E05000188,South Acton,9,6.2,76.5,82.5,5,29
E05000189,Southall Broadway,10.3,8.8,78,84.7,5,30.2
E05000190,Southall Green,9.5,7.9,79.8,83.7,5,27.9
E05000191,Southfield,5,4.6,82.3,86.2,5,12.7
E05000192,Walpole,6.2,6.4,80.8,84.7,5,14.9
E05000193,Bowes,8.5,6.4,79.7,86.5,4,21.2
E05000194,Bush Hill Park,5,7.9,82.1,84.5,3,13.7
E05000195,Chase,6.3,6.9,78.7,82.7,4,25.9
E05000196,Cockfosters,4.7,7.3,81.7,85.5,4,16
E05000197,Edmonton Green,11.4,9,78.3,84.7,3,41.9
E05000198,Enfield Highway,8.7,10.6,79.1,84.9,4,33.3
E05000199,Enfield Lock,8.3,8.9,78.5,82.5,4,32.2
E05000200,Grange,4,6.2,84.5,86.3,3,12.3
E05000201,Haselbury,10.2,8.9,80.9,84.3,3,31.8
E05000202,Highlands,3.9,6.7,82.2,87.5,3,16
E05000203,Jubilee,9.7,8.1,78.1,83.5,3,32.6
E05000204,Lower Edmonton,11.5,9.5,79.2,84.3,3,35.2
