code,label,obesity_nq5,low_birth_wgt,male_exp,fem_exp,unemploy,deprivation,obesity_prevalence
E05001767,Abbey,5 - Quintile 5 Lowest 20%,9.2,74.9,78.9,7.6,30.8,26.1
E05001768,Allestree,2 - Quintile 2,4.8,83.8,88,1.6,5,18.3
E05001769,Alvaston,3 - Quintile 3,8.6,75.7,80.5,6.4,34.2,26.3
E05001770,Arboretum,4 - Quintile 4,10.1,72.6,77.2,13.3,50.8,20.5
E05001771,Blagreaves,3 - Quintile 3,9,80.2,84.2,3.7,15.4,20
E05001772,Boulton,3 - Quintile 3,7.4,76.9,81.1,5.6,31.2,26.1
E05001773,Chaddesden,3 - Quintile 3,6.7,79.9,83.9,4.6,24,23.5
E05001774,Chellaston,3 - Quintile 3,6.7,78.4,81.9,3.2,14.6,22.1
E05001775,Darley,5 - Quintile 5 Lowest 20%,6.9,77.5,79.5,4.2,21.1,24.6
E05001776,Derwent,3 - Quintile 3,7.8,77.3,79.3,6.2,38.1,24.5
E05001777,Littleover,3 - Quintile 3,9.2,81.9,85.1,2.7,10.3,16.3
E05001778,Mackworth,5 - Quintile 5 Lowest 20%,7,75.9,82.9,5.8,29.6,21.4
E05001779,Mickleover,2 - Quintile 2,7.2,80.8,84.7,2.3,6.9,18.5
E05001780,Normanton,4 - Quintile 4,11.6,74.8,79.1,12.8,42.8,21.2
E05001781,Oakwood,3 - Quintile 3,6.6,81.9,85.8,2.7,11.1,23.5
E05001782,Sinfin,4 - Quintile 4,9,77.9,80.1,8.2,43.8,28.3
E05001783,Spondon,2 - Quintile 2,6.9,77.9,81.9,3.3,17.3,24.6
E05003280,Alfreton,1 - Quintile 1 Highest 20%,5.2,76,80.1,4.9,29.3,19.6
E05003281,Alport,1 - Quintile 1 Highest 20%,10,85.6,84.2,1.6,11.3,20
E05003282,Belper Central,1 - Quintile 1 Highest 20%,7.1,79.9,82.1,3,13.6,15.8
E05003283,Belper East,2 - Quintile 2,9.2,81.4,86.1,1.6,8.6,13
E05003284,Belper North,1 - Quintile 1 Highest 20%,9.3,81.8,83.9,1.6,9.5,21.4
E05003286,Codnor and Waingroves,1 - Quintile 1 Highest 20%,7.8,79.6,81.3,3.3,17.5,17.6
E05003287,Crich,1 - Quintile 1 Highest 20%,7.3,80.8,85.8,2.1,11.6,16.7
E05003289,Heage and Ambergate,1 - Quintile 1 Highest 20%,4.8,81.7,84.2,2.3,13.3,17.6
E05003290,Heanor and Loscoe,1 - Quintile 1 Highest 20%,9,78.6,84.9,3.1,19.6,31.8
E05003292,Heanor West,2 - Quintile 2,6,75.6,80.9,4,24.1,27.3
E05003293,Ironville and Riddings,1 - Quintile 1 Highest 20%,6.5,79.9,84.8,4.8,25.3,23.3
E05003295,Langley Mill and Aldercar,2 - Quintile 2,5.2,77.6,80,5,32.5,25
E05003296,Ripley,1 - Quintile 1 Highest 20%,7.5,78.2,82.2,4.3,20.5,23.1
E05003297,Ripley and Marehay,1 - Quintile 1 Highest 20%,4.6,78.4,81.1,3,21,22.7
E05003299,Somercotes,2 - Quintile 2,7.2,77.2,81,5.7,32.7,23.7
E05003300,South West Parishes,1 - Quintile 1 Highest 20%,8,85,84.4,1.9,11.2,17.6
E05003301,Swanwick,1 - Quintile 1 Highest 20%,7.6,81.8,85.1,2.1,10.1,17.4
E05003302,Wingfield,1 - Quintile 1 Highest 20%,6.1,80.3,82.3,2.4,15,30
