wards_code,wards_name,fem_exp,male_exp,nondepri_share,act_share
E05001767,Abbey,78.9,74.9,0.4365772344816637,0.631883821489761
E05001768,Allestree,88,83.8,0.5548615800135044,0.5318471337579618
E05001769,Alvaston,80.5,75.7,0.4112501682142376,0.626238545779632
E05001770,Arboretum,77.2,72.6,0.3436544342507645,0.5459433335347067
E05001771,Blagreaves,84.2,80.2,0.4640125514806825,0.5747040030069536
E05001772,Boulton,81.1,76.9,0.4100903357763763,0.5779026875109784
E05001773,Chaddesden,83.9,79.9,0.435541951746489,0.5993160181162769
E05001774,Chellaston,81.9,78.4,0.5210967250571211,0.6244379585075334
E05001775,Darley,79.5,77.5,0.5005158437730287,0.544942131369307
E05001776,Derwent,79.3,77.3,0.3959993219189693,0.6069353829654125
E05001777,Littleover,85.1,81.9,0.5807991513437057,0.6174217188540972
E05001778,Mackworth,82.9,75.9,0.4533718104495747,0.6094022514666244
E05001779,Mickleover,84.7,80.8,0.5565834104224483,0.566625866993064
E05001780,Normanton,79.1,74.8,0.3171292494662506,0.5285406382534937
E05001781,Oakwood,85.8,81.9,0.5633119695132514,0.6537356321839081
E05001782,Sinfin,80.1,77.9,0.3670927034460443,0.592274678111588
E05001783,Spondon,81.9,77.9,0.4847783514331493,0.5633802816901409
E05003280,Alfreton,80.1,76,0.4045226130653266,0.5888842918218177
E05003281,Alport,84.2,85.6,0.5611888111888111,0.5203034359660865
E05003282,Belper Central,82.1,79.9,0.5201740506329114,0.5961538461538461
E05003283,Belper East,86.1,81.4,0.5607625099285147,0.6628454452405322
E05003284,Belper North,83.9,81.8,0.5537959944108057,0.5648193963384464
E05003286,Codnor and Waingroves,81.3,79.6,0.4600274097761535,0.5712247324613555
E05003287,Crich,85.8,80.8,0.5490033222591362,0.5443708609271524
E05003289,Heage and Ambergate,84.2,81.7,0.4916743755781683,0.5864301126828099
E05003290,Heanor and Loscoe,84.9,78.6,0.4663736263736264,0.6024772143024071
E05003292,Heanor West,80.9,75.6,0.4387861876525985,0.6103624976276333
E05003293,Ironville and Riddings,84.8,79.9,0.4271428571428571,0.5714001986097319
E05003295,Langley Mill and Aldercar,80,77.6,0.3971494607087827,0.6113856068743286
E05003296,Ripley,82.2,78.2,0.4733021077283372,0.6034909469844991
E05003297,Ripley and Marehay,81.1,78.4,0.4491697043337384,0.5634328358208955
E05003299,Somercotes,81,77.2,0.3899049012435991,0.6114366538694685
E05003300,South West Parishes,84.4,85,0.6594594594594595,0.6454378444580526
E05003301,Swanwick,85.1,81.8,0.5209343323049802,0.5745214220601641
E05003302,Wingfield,82.3,80.3,0.5124045801526718,0.5518277416124187
E05003323,Barrow Hill and New Whittington,82.6,80.5,0.445607476635514,0.5837803046556533
E05003324,Brimington North,84.8,79.6,0.4621718991250643,0.637956204379562
E05003325,Brimington South,80.1,78.8,0.4879105016239625,0.5603929878636101
E05003326,Brockwell,84,79.4,0.5289664252797893,0.6086878477831628
E05003327,Dunston,81.9,77.3,0.3741711398800126,0.5609389671361502
E05003328,Hasland,82.2,79.2,0.4844934527911785,0.5733535775289429
E05003329,Hollingwood and Inkersall,81.6,78.4,0.4290561381863047,0.59056874303011
E05003330,Holmebrook,80.6,77.6,0.4088624942896299,0.6004489337822672
E05003331,Linacre,89.5,81.7,0.5508083140877598,0.5799031476997578
E05003332,Loundsley Green,80.4,73.3,0.3316378433367243,0.5077360277865488
E05003333,Lowgates and Woodthorpe,80.3,76.7,0.403331650681474,0.5766423357664233
E05003334,Middlecroft and Poolsbrook,77.9,74.7,0.3302107728337236,0.5695243073706221
E05003335,Moor,81.9,77,0.4112595419847328,0.5856079404466501
E05003336,Old Whittington,78.5,76.8,0.3935091277890467,0.5570391872278665
E05003337,Rother,82.4,75.1,0.3201594154765858,0.5136919790250534
E05003338,St Helen's,79.9,74.3,0.4239753195240194,0.5983793365408965
E05003339,St Leonard's,79.3,78,0.5280571731074643,0.647910447761194
E05003340,Walton,86.2,81.4,0.5488933601609658,0.5271621034332898
E05003341,West,86,81.9,0.56483191725157,0.5387771049033014
E05003342,Ashbourne North,85.5,79.2,0.4805571677307023,0.5803571428571429
E05003343,Ashbourne South,85,80.4,0.5344895545920378,0.6169164882226981
E05003344,Bakewell,82.9,79.3,0.5054080629301868,0.4809078771695594
E05003345,Bradwell,N/A - not available,N/A - not available,0.5376344086021505,0.5759534583063994
E05003346,Brailsford,N/A - not available,N/A - not available,0.6068571428571429,0.6272888363851152
E05003347,Calver,N/A - not available,N/A - not available,0.6189903846153846,0.5374759769378603
