code,label1,label2,county,pop,mort_ratio,unemploy,poverty,male_exp,fem_exp
E02002796,Derby 001,Derby ,Derbyshire,5977,69.3,1.6,11.3,84.8,86.7
E02002797,Derby 002,Derby ,Derbyshire,7256,67.2,1.5,12.7,82.9,89
E02002798,Derby 003,Derby ,Derbyshire,9655,71.2,2,10.3,82.4,86.8
E02002799,Derby 004,Derby ,Derbyshire,5993,103.7,4.8,21.2,78.4,81.6
E02002800,Derby 005,Derby ,Derbyshire,6960,135.5,3,17.7,80.9,80.2
E02002801,Derby 006,Derby ,Derbyshire,7389,79.6,3.5,16.7,82.6,84.2
E02002802,Derby 007,Derby ,Derbyshire,7851,152.4,7.8,29.7,74.9,76.9
E02002803,Derby 008,Derby ,Derbyshire,8610,133.1,4.9,28,74.6,79.4
E02002804,Derby 009,Derby ,Derbyshire,8717,94.7,5,21.4,77,83.4
E02002805,Derby 010,Derby ,Derbyshire,5425,88.2,2.3,10.4,80,85.5
E02002806,Derby 011,Derby ,Derbyshire,6312,136.2,6.8,24.8,73.5,81.4
E02002807,Derby 012,Derby ,Derbyshire,8632,97.2,5.2,15.8,78.9,83.8
E02002808,Derby 013,Derby ,Derbyshire,13142,166.5,8.8,33.6,N/A - not available,78.3
E02002809,Derby 014,Derby ,Derbyshire,6702,143.9,4.1,17.1,75.9,79.4
E02002810,Derby 015,Derby ,Derbyshire,8484,77,2.4,10.3,83.1,85.6
E02002811,Derby 016,Derby ,Derbyshire,11482,121.6,14.4,49.1,74.9,82
E02002812,Derby 017,Derby ,Derbyshire,7567,141,4.1,19.6,77.8,78.8
E02002813,Derby 018,Derby ,Derbyshire,11785,171.4,14.5,53.9,73.4,77.2
E02002814,Derby 019,Derby ,Derbyshire,6912,107.6,2.3,13.6,78.6,84
E02002815,Derby 020,Derby ,Derbyshire,8876,91.5,12.7,34.8,78.3,83.5
E02002816,Derby 021,Derby ,Derbyshire,9476,66.4,2.6,14.6,82.3,88.3
E02002817,Derby 022,Derby ,Derbyshire,6182,92.9,3,15.4,80.9,84.1
E02002818,Derby 023,Derby ,Derbyshire,8584,176.8,9.6,30.7,73.6,77.4
E02002819,Derby 024,Derby ,Derbyshire,7863,104.2,4.9,19.4,78.5,81.8
E02002820,Derby 025,Derby ,Derbyshire,9594,124.8,6.5,24.9,74.9,80.3
E02002821,Derby 026,Derby ,Derbyshire,12060,139.8,9.1,32.9,74.8,79.5
E02002822,Derby 027,Derby ,Derbyshire,6630,93,4.4,19,79.6,84.5
E02002823,Derby 028,Derby ,Derbyshire,7306,112.1,5.2,22,76.9,80.6
E02002824,Derby 029,Derby ,Derbyshire,9883,111.2,7,27.8,78.6,81.3
E02002825,Derby 030,Derby ,Derbyshire,8523,133.3,3.4,16.6,77.5,80.7
E02002826,Derby 031,Derby ,Derbyshire,6986,78.7,2.9,16.7,79.8,85.7
E02002827,Leicester 001,Leicester ,Leicestershire,6344,122.7,6.4,25.9,76.6,81.4
E02002828,Leicester 002,Leicester ,Leicestershire,7568,91.6,5.1,23.5,79.1,85.4
E02002829,Leicester 003,Leicester ,Leicestershire,11204,139.1,9.5,35.7,75.3,78.6
E02002830,Leicester 004,Leicester ,Leicestershire,10069,94.9,9.1,33.9,80,86.7
E02002831,Leicester 005,Leicester ,Leicestershire,6687,127.2,6.5,29.5,76.6,81.7
E02002832,Leicester 006,Leicester ,Leicestershire,9223,105.7,5.9,38.4,76.6,83.2
E02002833,Leicester 007,Leicester ,Leicestershire,8404,89.9,5.2,34.6,78,86
E02002834,Leicester 008,Leicester ,Leicestershire,11737,80.7,4.2,20.1,80.7,86.1
E02002835,Leicester 009,Leicester ,Leicestershire,14604,116.8,4.7,22.3,77.2,82.3
E02002836,Leicester 010,Leicester ,Leicestershire,9644,97.5,5.2,40.2,79.2,83.8
E02002837,Leicester 011,Leicester ,Leicestershire,8514,129.5,7.9,42.8,75.1,82.3
E02002838,Leicester 012,Leicester ,Leicestershire,8015,158.6,10.7,36.7,72.5,78
E02002839,Leicester 013,Leicester ,Leicestershire,7862,116.5,5.7,24,76,80.6
E02002842,Leicester 016,Leicester ,Leicestershire,8592,126.1,8.1,32.9,75,83.4
E02002843,Leicester 017,Leicester ,Leicestershire,14193,111.2,5.5,45.3,78.2,82
E02002844,Leicester 018,Leicester ,Leicestershire,11531,112.6,8.7,57,76.4,82.7
E02002845,Leicester 019,Leicester ,Leicestershire,10770,133.3,7.4,35.8,76,79.4
E02002846,Leicester 020,Leicester ,Leicestershire,7039,112.1,4.1,17.1,78.9,81.5
E02002847,Leicester 021,Leicester ,Leicestershire,10009,98,5.3,33,77.2,84.7
E02002848,Leicester 022,Leicester ,Leicestershire,11193,100.3,8.3,45.2,78.4,85
E02002849,Leicester 023,Leicester ,Leicestershire,14638,146,6.3,36.4,74.5,80.5
E02002851,Leicester 025,Leicester ,Leicestershire,8258,87.1,4.7,23,81.9,85.3
E02002852,Leicester 026,Leicester ,Leicestershire,6895,152.7,10.8,43.2,73,78.8
E02002853,Leicester 027,Leicester ,Leicestershire,13199,82.9,6.8,33.1,80.1,86.3
E02002854,Leicester 028,Leicester ,Leicestershire,8149,181.2,8.7,34.2,72.8,77.6
E02002855,Leicester 029,Leicester ,Leicestershire,8066,101.7,5.5,22.2,78.4,83.5
E02002856,Leicester 030,Leicester ,Leicestershire,11613,130.4,3.7,22.1,75.8,81.4
